Pixel X,Pixel Y,First Shadow Timestamp,Last Shadow Timestamp,Shadow Duration (minutes)
7,0,2025-09-11 08:36:22,2025-09-11 08:36:22,0 days 00:00:00
1189,0,2025-09-11 16:45:22,2025-09-11 16:45:22,0 days 00:00:00
8,1,2025-09-11 08:36:22,2025-09-11 08:36:22,0 days 00:00:00
44,1,2025-09-11 08:39:22,2025-09-11 08:39:22,0 days 00:00:00
97,1,2025-09-11 08:44:22,2025-09-11 08:44:22,0 days 00:00:00
106,1,2025-09-11 08:45:22,2025-09-11 08:45:22,0 days 00:00:00
116,1,2025-09-11 08:46:22,2025-09-11 08:46:22,0 days 00:00:00
125,1,2025-09-11 08:47:22,2025-09-11 08:47:22,0 days 00:00:00
134,1,2025-09-11 08:48:22,2025-09-11 08:48:22,0 days 00:00:00
198,1,2025-09-11 08:56:22,2025-09-11 08:56:22,0 days 00:00:00
245,1,2025-09-11 09:03:22,2025-09-11 09:03:22,0 days 00:00:00
7,2,2025-09-11 08:36:22,2025-09-11 08:36:22,0 days 00:00:00
8,2,2025-09-11 08:36:22,2025-09-11 08:36:22,0 days 00:00:00
43,2,2025-09-11 08:39:22,2025-09-11 08:39:22,0 days 00:00:00
88,2,2025-09-11 08:43:22,2025-09-11 08:43:22,0 days 00:00:00
97,2,2025-09-11 08:44:22,2025-09-11 08:44:22,0 days 00:00:00
107,2,2025-09-11 08:45:22,2025-09-11 08:45:22,0 days 00:00:00
116,2,2025-09-11 08:46:22,2025-09-11 08:46:22,0 days 00:00:00
125,2,2025-09-11 08:47:22,2025-09-11 08:47:22,0 days 00:00:00
134,2,2025-09-11 08:48:22,2025-09-11 08:48:22,0 days 00:00:00
143,2,2025-09-11 08:49:22,2025-09-11 08:49:22,0 days 00:00:00
153,2,2025-09-11 08:50:22,2025-09-11 08:50:22,0 days 00:00:00
161,2,2025-09-11 08:51:22,2025-09-11 08:51:22,0 days 00:00:00
162,2,2025-09-11 08:51:22,2025-09-11 08:51:22,0 days 00:00:00
170,2,2025-09-11 08:52:22,2025-09-11 08:52:22,0 days 00:00:00
190,2,2025-09-11 08:55:22,2025-09-11 08:55:22,0 days 00:00:00
198,2,2025-09-11 08:56:22,2025-09-11 08:56:22,0 days 00:00:00
199,2,2025-09-11 08:56:22,2025-09-11 08:56:22,0 days 00:00:00
245,2,2025-09-11 09:03:22,2025-09-11 09:03:22,0 days 00:00:00
8,3,2025-09-11 08:36:22,2025-09-11 08:36:22,0 days 00:00:00
25,3,2025-09-11 08:37:22,2025-09-11 08:37:22,0 days 00:00:00
34,3,2025-09-11 08:38:22,2025-09-11 08:38:22,0 days 00:00:00
35,3,2025-09-11 08:38:22,2025-09-11 08:38:22,0 days 00:00:00
44,3,2025-09-11 08:39:22,2025-09-11 08:39:22,0 days 00:00:00
45,3,2025-09-11 08:39:22,2025-09-11 08:39:22,0 days 00:00:00
70,3,2025-09-11 08:41:22,2025-09-11 08:41:22,0 days 00:00:00
80,3,2025-09-11 08:42:22,2025-09-11 08:42:22,0 days 00:00:00
89,3,2025-09-11 08:43:22,2025-09-11 08:43:22,0 days 00:00:00
107,3,2025-09-11 08:45:22,2025-09-11 08:45:22,0 days 00:00:00
117,3,2025-09-11 08:46:22,2025-09-11 08:46:22,0 days 00:00:00
125,3,2025-09-11 08:47:22,2025-09-11 08:47:22,0 days 00:00:00
126,3,2025-09-11 08:47:22,2025-09-11 08:47:22,0 days 00:00:00
134,3,2025-09-11 08:48:22,2025-09-11 08:48:22,0 days 00:00:00
135,3,2025-09-11 08:48:22,2025-09-11 08:48:22,0 days 00:00:00
143,3,2025-09-11 08:49:22,2025-09-11 08:49:22,0 days 00:00:00
144,3,2025-09-11 08:49:22,2025-09-11 08:49:22,0 days 00:00:00
152,3,2025-09-11 08:50:22,2025-09-11 08:50:22,0 days 00:00:00
162,3,2025-09-11 08:51:22,2025-09-11 08:51:22,0 days 00:00:00
163,3,2025-09-11 08:51:22,2025-09-11 08:51:22,0 days 00:00:00
170,3,2025-09-11 08:52:22,2025-09-11 08:52:22,0 days 00:00:00
190,3,2025-09-11 08:55:22,2025-09-11 08:55:22,0 days 00:00:00
199,3,2025-09-11 08:56:22,2025-09-11 08:56:22,0 days 00:00:00
207,3,2025-09-11 08:57:22,2025-09-11 08:57:22,0 days 00:00:00
208,3,2025-09-11 08:57:22,2025-09-11 08:57:22,0 days 00:00:00
225,3,2025-09-11 09:00:22,2025-09-11 09:00:22,0 days 00:00:00
226,3,2025-09-11 09:00:22,2025-09-11 09:00:22,0 days 00:00:00
244,3,2025-09-11 09:03:22,2025-09-11 09:03:22,0 days 00:00:00
245,3,2025-09-11 09:03:22,2025-09-11 09:03:22,0 days 00:00:00
253,3,2025-09-11 09:04:22,2025-09-11 09:04:22,0 days 00:00:00
254,3,2025-09-11 09:04:22,2025-09-11 09:04:22,0 days 00:00:00
1152,3,2025-09-11 16:39:22,2025-09-11 16:39:22,0 days 00:00:00
1161,3,2025-09-11 16:41:22,2025-09-11 16:41:22,0 days 00:00:00
1168,3,2025-09-11 16:42:22,2025-09-11 16:42:22,0 days 00:00:00
1170,3,2025-09-11 16:42:22,2025-09-11 16:42:22,0 days 00:00:00
1186,3,2025-09-11 16:45:22,2025-09-11 16:45:22,0 days 00:00:00
1188,3,2025-09-11 16:45:22,2025-09-11 16:45:22,0 days 00:00:00
1206,3,2025-09-11 16:48:22,2025-09-11 16:48:22,0 days 00:00:00
1215,3,2025-09-11 16:49:22,2025-09-11 16:49:22,0 days 00:00:00
1223,3,2025-09-11 16:50:22,2025-09-11 16:50:22,0 days 00:00:00
1224,3,2025-09-11 16:50:22,2025-09-11 16:50:22,0 days 00:00:00
1232,3,2025-09-11 16:51:22,2025-09-11 16:51:22,0 days 00:00:00
8,4,2025-09-11 07:35:22,2025-09-11 08:35:22,0 days 01:00:00
25,4,2025-09-11 08:37:22,2025-09-11 08:37:22,0 days 00:00:00
26,4,2025-09-11 08:37:22,2025-09-11 08:37:22,0 days 00:00:00
35,4,2025-09-11 08:38:22,2025-09-11 08:38:22,0 days 00:00:00
61,4,2025-09-11 08:40:22,2025-09-11 08:40:22,0 days 00:00:00
70,4,2025-09-11 08:41:22,2025-09-11 08:41:22,0 days 00:00:00
71,4,2025-09-11 08:41:22,2025-09-11 08:41:22,0 days 00:00:00
79,4,2025-09-11 08:42:22,2025-09-11 08:42:22,0 days 00:00:00
90,4,2025-09-11 08:43:22,2025-09-11 08:43:22,0 days 00:00:00
98,4,2025-09-11 08:44:22,2025-09-11 08:44:22,0 days 00:00:00
107,4,2025-09-11 08:45:22,2025-09-11 08:45:22,0 days 00:00:00
152,4,2025-09-11 08:50:22,2025-09-11 08:50:22,0 days 00:00:00
153,4,2025-09-11 08:50:22,2025-09-11 08:50:22,0 days 00:00:00
163,4,2025-09-11 08:51:22,2025-09-11 08:51:22,0 days 00:00:00
171,4,2025-09-11 08:52:22,2025-09-11 08:52:22,0 days 00:00:00
172,4,2025-09-11 08:52:22,2025-09-11 08:52:22,0 days 00:00:00
180,4,2025-09-11 08:53:22,2025-09-11 08:53:22,0 days 00:00:00
199,4,2025-09-11 08:56:22,2025-09-11 08:56:22,0 days 00:00:00
207,4,2025-09-11 08:57:22,2025-09-11 08:57:22,0 days 00:00:00
208,4,2025-09-11 08:57:22,2025-09-11 08:57:22,0 days 00:00:00
235,4,2025-09-11 09:01:22,2025-09-11 09:01:22,0 days 00:00:00
254,4,2025-09-11 09:04:22,2025-09-11 09:04:22,0 days 00:00:00
1152,4,2025-09-11 16:39:22,2025-09-11 16:39:22,0 days 00:00:00
1159,4,2025-09-11 16:41:22,2025-09-11 16:41:22,0 days 00:00:00
1160,4,2025-09-11 16:41:22,2025-09-11 16:41:22,0 days 00:00:00
1161,4,2025-09-11 16:41:22,2025-09-11 16:41:22,0 days 00:00:00
1168,4,2025-09-11 16:42:22,2025-09-11 16:42:22,0 days 00:00:00
1179,4,2025-09-11 16:44:22,2025-09-11 16:44:22,0 days 00:00:00
1180,4,2025-09-11 16:44:22,2025-09-11 16:44:22,0 days 00:00:00
1187,4,2025-09-11 16:45:22,2025-09-11 16:45:22,0 days 00:00:00
1198,4,2025-09-11 16:47:22,2025-09-11 16:47:22,0 days 00:00:00
1205,4,2025-09-11 16:48:22,2025-09-11 16:48:22,0 days 00:00:00
1207,4,2025-09-11 16:48:22,2025-09-11 16:48:22,0 days 00:00:00
1208,4,2025-09-11 16:48:22,2025-09-11 16:48:22,0 days 00:00:00
1213,4,2025-09-11 16:49:22,2025-09-11 16:49:22,0 days 00:00:00
1214,4,2025-09-11 16:49:22,2025-09-11 16:49:22,0 days 00:00:00
1215,4,2025-09-11 16:49:22,2025-09-11 16:49:22,0 days 00:00:00
1222,4,2025-09-11 16:50:22,2025-09-11 16:50:22,0 days 00:00:00
7,5,2025-09-11 07:35:22,2025-09-11 08:35:22,0 days 01:00:00
8,5,2025-09-11 07:35:22,2025-09-11 08:35:22,0 days 01:00:00
16,5,2025-09-11 08:36:22,2025-09-11 08:36:22,0 days 00:00:00
17,5,2025-09-11 08:36:22,2025-09-11 08:36:22,0 days 00:00:00
25,5,2025-09-11 08:37:22,2025-09-11 08:37:22,0 days 00:00:00
26,5,2025-09-11 08:37:22,2025-09-11 08:37:22,0 days 00:00:00
36,5,2025-09-11 08:38:22,2025-09-11 08:38:22,0 days 00:00:00
62,5,2025-09-11 08:40:22,2025-09-11 08:40:22,0 days 00:00:00
71,5,2025-09-11 08:41:22,2025-09-11 08:41:22,0 days 00:00:00
80,5,2025-09-11 08:42:22,2025-09-11 08:42:22,0 days 00:00:00
81,5,2025-09-11 08:42:22,2025-09-11 08:42:22,0 days 00:00:00
171,5,2025-09-11 08:52:22,2025-09-11 08:52:22,0 days 00:00:00
180,5,2025-09-11 08:53:22,2025-09-11 08:53:22,0 days 00:00:00
181,5,2025-09-11 08:53:22,2025-09-11 08:53:22,0 days 00:00:00
189,5,2025-09-11 08:54:22,2025-09-11 08:54:22,0 days 00:00:00
236,5,2025-09-11 09:01:22,2025-09-11 09:01:22,0 days 00:00:00
253,5,2025-09-11 09:04:22,2025-09-11 09:04:22,0 days 00:00:00
1151,5,2025-09-11 16:39:22,2025-09-11 16:39:22,0 days 00:00:00
1152,5,2025-09-11 16:39:22,2025-09-11 16:40:22,0 days 00:01:00
1160,5,2025-09-11 16:41:22,2025-09-11 16:41:22,0 days 00:00:00
1170,5,2025-09-11 16:43:22,2025-09-11 16:43:22,0 days 00:00:00
1171,5,2025-09-11 16:43:22,2025-09-11 16:43:22,0 days 00:00:00
1178,5,2025-09-11 16:44:22,2025-09-11 16:44:22,0 days 00:00:00
1179,5,2025-09-11 16:44:22,2025-09-11 16:44:22,0 days 00:00:00
1186,5,2025-09-11 16:45:22,2025-09-11 16:45:22,0 days 00:00:00
1189,5,2025-09-11 16:46:22,2025-09-11 16:46:22,0 days 00:00:00
1196,5,2025-09-11 16:47:22,2025-09-11 16:47:22,0 days 00:00:00
1197,5,2025-09-11 16:47:22,2025-09-11 16:47:22,0 days 00:00:00
1198,5,2025-09-11 16:47:22,2025-09-11 16:47:22,0 days 00:00:00
1204,5,2025-09-11 16:48:22,2025-09-11 16:48:22,0 days 00:00:00
1205,5,2025-09-11 16:48:22,2025-09-11 16:48:22,0 days 00:00:00
1213,5,2025-09-11 16:49:22,2025-09-11 16:49:22,0 days 00:00:00
1225,5,2025-09-11 16:51:22,2025-09-11 16:51:22,0 days 00:00:00
1233,5,2025-09-11 16:52:22,2025-09-11 16:52:22,0 days 00:00:00
1241,5,2025-09-11 16:53:22,2025-09-11 16:53:22,0 days 00:00:00
1242,5,2025-09-11 16:53:22,2025-09-11 16:53:22,0 days 00:00:00
8,6,2025-09-11 07:35:22,2025-09-11 08:35:22,0 days 01:00:00
16,6,2025-09-11 08:36:22,2025-09-11 08:36:22,0 days 00:00:00
17,6,2025-09-11 08:36:22,2025-09-11 08:36:22,0 days 00:00:00
26,6,2025-09-11 08:37:22,2025-09-11 08:37:22,0 days 00:00:00
61,6,2025-09-11 08:40:22,2025-09-11 08:40:22,0 days 00:00:00
63,6,2025-09-11 08:40:22,2025-09-11 08:40:22,0 days 00:00:00
