Pixel X,Pixel Y,Shadow Start Timestamp,Shadow End Timestamp,Shadow Duration (minutes),Average Power Blocked (W/m²)
921,320,20/08/2025 16:24,20/08/2025 16:26,2,845.00111
922,320,20/08/2025 16:25,20/08/2025 16:26,1,842.9416217
923,320,20/08/2025 16:25,20/08/2025 16:26,1,842.9416217
921,321,20/08/2025 16:24,20/08/2025 16:29,5,838.7951263
922,321,20/08/2025 16:25,20/08/2025 16:29,4,836.7287583
923,321,20/08/2025 16:25,20/08/2025 16:29,4,836.7287583
924,321,20/08/2025 16:26,20/08/2025 16:29,3,834.6578038
921,322,20/08/2025 16:24,20/08/2025 16:32,8,832.5482822
922,322,20/08/2025 16:25,20/08/2025 16:32,7,830.4750942
923,322,20/08/2025 16:25,20/08/2025 16:32,7,830.4750942
924,322,20/08/2025 16:26,20/08/2025 16:32,6,828.3973396
921,323,20/08/2025 16:24,20/08/2025 16:33,9,830.4570145
922,323,20/08/2025 16:25,20/08/2025 16:33,8,828.3815665
923,323,20/08/2025 16:25,20/08/2025 16:34,9,826.2835859
924,323,20/08/2025 16:26,20/08/2025 16:34,8,824.2013314
921,324,20/08/2025 16:24,20/08/2025 16:35,11,826.2611204
922,324,20/08/2025 16:25,20/08/2025 16:35,10,824.1811726
923,324,20/08/2025 16:25,20/08/2025 16:35,10,824.1811726
924,324,20/08/2025 16:26,20/08/2025 16:35,9,822.0966782
921,325,20/08/2025 16:24,20/08/2025 16:38,14,819.934187
922,325,20/08/2025 16:25,20/08/2025 16:38,13,817.84754
923,325,20/08/2025 16:25,20/08/2025 16:38,13,817.84754
924,325,20/08/2025 16:26,20/08/2025 16:38,12,815.7563665
921,326,20/08/2025 16:24,20/08/2025 16:40,16,815.6944077
922,326,20/08/2025 16:25,20/08/2025 16:40,15,813.6033283
923,326,20/08/2025 16:25,20/08/2025 16:40,15,813.6033283
924,326,20/08/2025 16:26,20/08/2025 16:40,14,811.507736
921,327,20/08/2025 16:27,20/08/2025 16:43,16,802.9959243
922,327,20/08/2025 16:27,20/08/2025 16:43,16,802.9959243
923,327,20/08/2025 16:27,20/08/2025 16:43,16,802.9959243
924,327,20/08/2025 16:27,20/08/2025 16:43,16,802.9959243
921,328,20/08/2025 16:29,20/08/2025 16:45,16,794.4649774
922,328,20/08/2025 16:30,20/08/2025 16:45,15,792.3407413
923,328,20/08/2025 16:30,20/08/2025 16:45,15,792.3407413
924,328,20/08/2025 16:30,20/08/2025 16:45,15,792.3407413
921,329,20/08/2025 16:30,20/08/2025 16:48,18,785.8465726
922,329,20/08/2025 16:30,20/08/2025 16:48,18,785.8465726
923,329,20/08/2025 16:31,20/08/2025 16:48,17,783.7115863
924,329,20/08/2025 16:31,20/08/2025 16:48,17,783.7115863
