Pixel X,Pixel Y,Shadow Start Timestamp,Shadow End Timestamp,Shadow Duration (minutes),Average Power Blocked (W/m²)
783,467,17-07-2025 16:24,17-07-2025 16:28,4,893.5764492
784,467,17-07-2025 16:25,17-07-2025 16:28,3,891.6509011
785,467,17-07-2025 16:25,17-07-2025 16:28,3,891.6509011
783,468,17-07-2025 16:24,17-07-2025 16:33,9,883.8609679
784,468,17-07-2025 16:25,17-07-2025 16:33,8,881.9244522
785,468,17-07-2025 16:25,17-07-2025 16:33,8,881.9244522
786,468,17-07-2025 16:26,17-07-2025 16:31,5,883.891503
783,469,17-07-2025 16:24,17-07-2025 16:37,13,876.0109635
784,469,17-07-2025 16:25,17-07-2025 16:37,12,874.065786
785,469,17-07-2025 16:25,17-07-2025 16:35,10,878.0036433
786,469,17-07-2025 16:26,17-07-2025 16:35,9,876.0583972
783,470,17-07-2025 16:24,17-07-2025 16:41,17,868.0932726
784,470,17-07-2025 16:25,17-07-2025 16:41,16,866.1395338
785,470,17-07-2025 16:25,17-07-2025 16:39,14,870.1110321
786,470,17-07-2025 16:26,17-07-2025 16:39,13,868.1571994
783,471,17-07-2025 16:24,17-07-2025 16:44,20,862.1113202
784,471,17-07-2025 16:25,17-07-2025 16:43,18,862.1514448
785,471,17-07-2025 16:25,17-07-2025 16:43,18,862.1514448
786,471,17-07-2025 16:26,17-07-2025 16:43,17,860.1891264
783,472,17-07-2025 16:24,17-07-2025 16:50,26,850.037343
784,472,17-07-2025 16:25,17-07-2025 16:48,23,852.109651
785,472,17-07-2025 16:25,17-07-2025 16:48,23,852.109651
786,472,17-07-2025 16:26,17-07-2025 16:46,20,854.1699251
783,473,17-07-2025 16:25,17-07-2025 16:53,28,841.9675592
784,473,17-07-2025 16:25,17-07-2025 16:51,26,846.0362749
785,473,17-07-2025 16:25,17-07-2025 16:51,26,846.0362749
786,473,17-07-2025 16:26,17-07-2025 16:51,25,844.0572916
783,474,17-07-2025 16:27,17-07-2025 16:58,31,827.7369545
784,474,17-07-2025 16:27,17-07-2025 16:56,29,831.8525691
785,474,17-07-2025 16:27,17-07-2025 16:55,28,833.904625
786,474,17-07-2025 16:27,17-07-2025 16:55,28,833.904625
783,475,17-07-2025 16:29,17-07-2025 17:01,32,817.5156706
784,475,17-07-2025 16:29,17-07-2025 17:01,32,817.5156706
785,475,17-07-2025 16:29,17-07-2025 16:59,30,821.6619608
786,475,17-07-2025 16:29,17-07-2025 16:58,29,823.7294645
783,476,17-07-2025 16:34,17-07-2025 17:05,31,799.0189826
784,476,17-07-2025 16:34,17-07-2025 17:04,30,801.1184391
