[Iteration 1] Memory: 211.52 MB | CPU: 49.9%
[Iteration 2] Memory: 211.52 MB | CPU: 0.0%
[Iteration 3] Memory: 211.52 MB | CPU: 0.0%
[Iteration 4] Memory: 211.64 MB | CPU: 0.0%
[Iteration 5] Memory: 211.64 MB | CPU: 0.0%
[Iteration 6] Memory: 211.64 MB | CPU: 99.9%
[Iteration 7] Memory: 211.64 MB | CPU: 0.0%
[Iteration 8] Memory: 211.64 MB | CPU: 0.0%
[Iteration 9] Memory: 211.64 MB | CPU: 30.0%
[Iteration 10] Memory: 211.64 MB | CPU: 0.0%
[Iteration 11] Memory: 211.64 MB | CPU: 0.0%
[Iteration 12] Memory: 211.64 MB | CPU: 0.0%
[Iteration 13] Memory: 211.64 MB | CPU: 0.0%
[Iteration 1] Memory: 239.50 MB | CPU: 30.0%
[Iteration 2] Memory: 239.50 MB | CPU: 0.0%
[Iteration 3] Memory: 239.50 MB | CPU: 0.0%
[Iteration 4] Memory: 239.50 MB | CPU: 0.0%
[Iteration 5] Memory: 239.50 MB | CPU: 0.0%
[Iteration 6] Memory: 239.50 MB | CPU: 99.8%
[Iteration 7] Memory: 239.50 MB | CPU: 0.0%
[Iteration 8] Memory: 239.50 MB | CPU: 0.0%
[Iteration 9] Memory: 239.50 MB | CPU: 0.0%
[Iteration 10] Memory: 239.50 MB | CPU: 0.0%
[Iteration 11] Memory: 239.50 MB | CPU: 99.9%
[Iteration 12] Memory: 239.50 MB | CPU: 0.0%
[Iteration 13] Memory: 239.50 MB | CPU: 0.0%
[Iteration 1] Memory: 260.23 MB | CPU: 10.0%
[Iteration 2] Memory: 260.23 MB | CPU: 0.0%
[Iteration 3] Memory: 260.23 MB | CPU: 0.0%
[Iteration 4] Memory: 260.23 MB | CPU: 0.0%
[Iteration 5] Memory: 260.23 MB | CPU: 0.0%
[Iteration 6] Memory: 260.23 MB | CPU: 39.9%
[Iteration 7] Memory: 260.23 MB | CPU: 0.0%
[Iteration 8] Memory: 260.23 MB | CPU: 0.0%
[Iteration 9] Memory: 260.23 MB | CPU: 0.0%
[Iteration 10] Memory: 260.23 MB | CPU: 0.0%
[Iteration 11] Memory: 260.23 MB | CPU: 99.9%
[Iteration 12] Memory: 260.23 MB | CPU: 0.0%
[Iteration 13] Memory: 260.23 MB | CPU: 0.0%
[Iteration 1] Memory: 221.83 MB | CPU: 30.0%
[Iteration 2] Memory: 221.83 MB | CPU: 0.0%
[Iteration 3] Memory: 221.83 MB | CPU: 10.0%
[Iteration 4] Memory: 221.95 MB | CPU: 0.0%
[Iteration 5] Memory: 221.95 MB | CPU: 0.0%
[Iteration 6] Memory: 221.95 MB | CPU: 89.9%
[Iteration 7] Memory: 221.95 MB | CPU: 0.0%
[Iteration 8] Memory: 221.95 MB | CPU: 0.0%
[Iteration 9] Memory: 221.95 MB | CPU: 0.0%
[Iteration 10] Memory: 221.95 MB | CPU: 0.0%
[Iteration 11] Memory: 221.95 MB | CPU: 99.8%
[Iteration 12] Memory: 221.95 MB | CPU: 0.0%
[Iteration 13] Memory: 221.95 MB | CPU: 0.0%
[Iteration 1] Memory: 211.59 MB | CPU: 10.0%
[Iteration 2] Memory: 211.59 MB | CPU: 0.0%
[Iteration 3] Memory: 211.59 MB | CPU: 0.0%
[Iteration 4] Memory: 211.71 MB | CPU: 0.0%
[Iteration 5] Memory: 211.71 MB | CPU: 0.0%
[Iteration 6] Memory: 211.71 MB | CPU: 89.9%
[Iteration 7] Memory: 211.71 MB | CPU: 0.0%
[Iteration 8] Memory: 211.71 MB | CPU: 0.0%
[Iteration 9] Memory: 211.71 MB | CPU: 0.0%
[Iteration 10] Memory: 211.71 MB | CPU: 0.0%
[Iteration 11] Memory: 211.71 MB | CPU: 99.2%
[Iteration 12] Memory: 211.71 MB | CPU: 0.0%
[Iteration 13] Memory: 211.71 MB | CPU: 0.0%
[Iteration 1] Memory: 211.05 MB | CPU: 0.0%
[Iteration 2] Memory: 214.80 MB | CPU: 39.9%
[Iteration 3] Memory: 218.05 MB | CPU: 59.9%
[Iteration 4] Memory: 219.18 MB | CPU: 69.9%
[Iteration 5] Memory: 220.05 MB | CPU: 89.9%
[Iteration 6] Memory: 221.30 MB | CPU: 39.9%
[Iteration 7] Memory: 222.43 MB | CPU: 30.0%
[Iteration 8] Memory: 223.30 MB | CPU: 69.8%
[Iteration 9] Memory: 224.55 MB | CPU: 0.0%
[Iteration 0] Memory: 232.23 MB | CPU: 79.9%
[Iteration 0] Memory: 232.70 MB | CPU: 49.9%
[Iteration 0] Memory: 233.48 MB | CPU: 49.9%
[Iteration 1] Memory: 236.10 MB | CPU: 69.9%
[Iteration 2] Memory: 239.23 MB | CPU: 69.9%
[Iteration 3] Memory: 240.10 MB | CPU: 99.8%
[Iteration 4] Memory: 241.60 MB | CPU: 59.9%
[Iteration 5] Memory: 242.73 MB | CPU: 59.9%
[Iteration 6] Memory: 244.85 MB | CPU: 69.9%
[Iteration 7] Memory: 246.10 MB | CPU: 69.9%
[Iteration 8] Memory: 247.10 MB | CPU: 49.9%
[Iteration 0] Memory: 269.52 MB | CPU: 99.8%
[Iteration 0] Memory: 270.80 MB | CPU: 0.0%
[Iteration 1] Memory: 294.80 MB | CPU: 99.5%
[Iteration 2] Memory: 337.15 MB | CPU: 96.4%
[Iteration 0] Memory: 232.91 MB | CPU: 0.0%
[Iteration 1] Memory: 235.04 MB | CPU: 69.9%
[Iteration 2] Memory: 236.16 MB | CPU: 79.9%
[Iteration 3] Memory: 237.16 MB | CPU: 79.9%
[Iteration 4] Memory: 238.04 MB | CPU: 99.8%
[Iteration 5] Memory: 239.54 MB | CPU: 30.0%
[Iteration 6] Memory: 240.66 MB | CPU: 59.9%
[Iteration 7] Memory: 241.41 MB | CPU: 89.9%
[Iteration 8] Memory: 242.79 MB | CPU: 39.9%
[Iteration 9] Memory: 243.79 MB | CPU: 69.9%
[Iteration 0] Memory: 248.20 MB | CPU: 20.0%
[Iteration 1] Memory: 244.04 MB | CPU: 0.0%
[Iteration 2] Memory: 258.48 MB | CPU: 0.0%
[Iteration 3] Memory: 257.14 MB | CPU: 0.0%
[Iteration 4] Memory: 260.80 MB | CPU: 0.0%
[Iteration 5] Memory: 260.70 MB | CPU: 0.0%
[Iteration 6] Memory: 262.81 MB | CPU: 0.0%
[Iteration 7] Memory: 258.67 MB | CPU: 0.0%
[Iteration 8] Memory: 259.52 MB | CPU: 0.0%
[Iteration 0] Memory: 232.68 MB | CPU: 29.9%
[Iteration 1] Memory: 234.80 MB | CPU: 20.0%
[Iteration 2] Memory: 235.93 MB | CPU: 10.0%
[Iteration 3] Memory: 237.05 MB | CPU: 49.9%
[Iteration 4] Memory: 238.18 MB | CPU: 10.0%
[Iteration 5] Memory: 239.18 MB | CPU: 59.9%
[Iteration 6] Memory: 240.30 MB | CPU: 10.0%
[Iteration 7] Memory: 241.43 MB | CPU: 19.9%
[Iteration 8] Memory: 242.43 MB | CPU: 10.0%
[Iteration 0] Memory: 239.73 MB | CPU: 39.9%
[Iteration 1] Memory: 241.86 MB | CPU: 10.0%
[Iteration 2] Memory: 242.98 MB | CPU: 39.9%
[Iteration 3] Memory: 243.98 MB | CPU: 39.9%
[Iteration 4] Memory: 261.07 MB | CPU: 10.0%
[Iteration 5] Memory: 258.60 MB | CPU: 0.0%
[Iteration 6] Memory: 265.66 MB | CPU: 0.0%
[Iteration 7] Memory: 265.66 MB | CPU: 59.9%
[Iteration 8] Memory: 265.66 MB | CPU: 79.9%
[Iteration 9] Memory: 265.66 MB | CPU: 69.9%
[Iteration 0] Memory: 261.61 MB | CPU: 19.6%
[Iteration 1] Memory: 263.73 MB | CPU: 19.9%
[Iteration 2] Memory: 264.86 MB | CPU: 10.0%
[Iteration 3] Memory: 265.98 MB | CPU: 29.9%
[Iteration 4] Memory: 267.11 MB | CPU: 30.0%
[Iteration 5] Memory: 268.11 MB | CPU: 20.0%
[Iteration 6] Memory: 269.23 MB | CPU: 10.0%
[Iteration 7] Memory: 269.36 MB | CPU: 49.9%
[Iteration 8] Memory: 269.36 MB | CPU: 59.9%
[Iteration 9] Memory: 269.36 MB | CPU: 89.8%
[Iteration 0] Memory: 297.85 MB | CPU: 39.9%
[Iteration 1] Memory: 297.85 MB | CPU: 0.0%
[Iteration 2] Memory: 297.85 MB | CPU: 0.0%
[Iteration 3] Memory: 297.85 MB | CPU: 39.9%
[Iteration 4] Memory: 297.85 MB | CPU: 0.0%
[Iteration 5] Memory: 297.85 MB | CPU: 30.0%
[Iteration 6] Memory: 297.85 MB | CPU: 49.9%
[Iteration 7] Memory: 297.85 MB | CPU: 49.9%
[Iteration 8] Memory: 297.85 MB | CPU: 79.9%
[Iteration 9] Memory: 297.85 MB | CPU: 59.9%
[Iteration 0] Memory: 293.46 MB | CPU: 99.8%
[Iteration 1] Memory: 293.46 MB | CPU: 39.9%
[Iteration 2] Memory: 293.46 MB | CPU: 10.0%
[Iteration 3] Memory: 293.46 MB | CPU: 49.9%
[Iteration 4] Memory: 293.46 MB | CPU: 69.9%
[Iteration 5] Memory: 293.46 MB | CPU: 20.0%
[Iteration 6] Memory: 293.46 MB | CPU: 39.9%
[Iteration 7] Memory: 293.46 MB | CPU: 10.0%
